マッドマックスはどのように評価されている？,OtherClass
映画監督を探して,LookupDirectors
ホビットの冒険は誰が主演だった？,LookupActors
ドラマ,SearchMovies
私は最近のドラマを見てみたい,SearchMovies
どんな上映中があるか見せて,SearchMovies
セクシーな何か,SearchMovies
良い一日,ClosingTalk
こんにちは,OpeningTalk
私は最近の喜劇を見てみたい,SearchMovies
何を上映してる？,SearchMovies
R指定,SearchMovies
Vacationの製作者は誰ですか？,LookupDirectors
いま、何を上映していますか。,SearchMovies
助けてください,RepairTalk
気にするなよ,RepairTalk
現在のすべての評価の映画,SearchMovies
r指定,SearchMovies
喜劇,SearchMovies
Ajay,GiveName
私は映画スターを見てみたい,LookupActors
私に映画を見せて,SearchMovies
現在どのような映画を上映していますか？,SearchMovies
これからの,SearchMovies
Pixelsはアクションですか？、コメディですか？,OtherClass
最近のコメディを見たいです,SearchMovies
急ぐ必要がある,ClosingTalk
ホラー,SearchMovies
ごめん,SmallTalk
ビバリー,GiveName
火星の人,OtherClass
何を上映してる？,SearchMovies
コメディー,SearchMovies
asdf,OtherClass
何を上映してる？,SearchMovies
What actors are in Sound Mixers?,LookupActors
what were those again?,RepairTalk
何を上映してる？,SearchMovies
ワトソン、何を上映してるの？,SearchMovies
こんにちは,OpeningTalk
これから上映される映画,SearchMovies
アクション,SearchMovies
英語を理解します,SmallTalk
この天気はどう？,SmallTalk
映画を探して,SearchMovies
r指定,SearchMovies
何を上映してる？,SearchMovies
ホラー,SearchMovies
こんにちは,OpeningTalk
アクション,SearchMovies
いまどんな映画を上映しているの？,SearchMovies
もっと映画を見せて,OtherClass
バイバイ,ClosingTalk
アクション,SearchMovies
リチャード,GiveName
いいえ、私はコメディを意味します,RepairTalk
PG指定,SearchMovies
現在の,SearchMovies
私は、映画の上映時間を知りたい,CheckShowtimes
99 homes はR指定？,OtherClass
私は最近の喜劇を見てみたい,SearchMovies
エリック,GiveName
どんな上映中があるか見せて,SearchMovies
2001年宇宙のたびに関すること,SmallTalk
いまどんな映画を上映しているの？,SearchMovies
PG指定,SearchMovies
ログオフ,ClosingTalk
というのは,RepairTalk
ドラマ,SearchMovies
ピッチパーフェクト2はどの劇場で上映してる,CheckShowtimes
より良いものを提案してください,OtherClass
もうすぐ公開される映画は、何ですか？,SearchMovies
去らなければならない,ClosingTalk
どんな映画について、あなたは知っていますか,PreSequence
それは、私が意味するものでありません,RepairTalk
いまどんな映画を上映しているの？,SearchMovies
アクション,SearchMovies
私の心は、映画を見つけて変化する,OtherClass
それは、何を表しますか,RepairTalk
